,Problem,,,Constructive Algorithm,,,Local Search,GRASP,,Known Best Solution or Upper Bound
Name,|V| or n,|E| or m,Simple Randomized or Randomized-1,Simple Greedy or Greedy-1,Semi-greedy-1,Simple local or local-1,,GRASP-1
,,,,,,No. of iterations,Average value,No. of iterations, Best value,
G1,800,19176,9586,10949,11083,19176,11376,10,11410,12078
G2,800,19176,9588,11050,11118,19176,11332,10,11412,12084
G3,800,19176,9590,11015,11134,19176,11327,10,11451,12077
G4,800,19176,9586,11059,11157,19176,11401,10,11455,-1
G5,800,19176,9589,11038,11125,19176,11360,10,11428,-1
G6,800,19176,72,1511,1636,19176,1919,10,1987,-1
G7,800,19176,-76,1442,1473,19176,1776,10,1773,-1
G8,800,19176,-84,1403,1429,19176,1755,10,1838,-1
G9,800,19176,-33,1428,1472,19176,1752,10,1867,-1
G10,800,19176,-78,1307,1447,19176,1668,10,1795,-1
G11,800,1600,17,432,444,1600,424,10,468,627
G12,800,1600,-1,418,402,1600,410,10,456,621
G13,800,1600,17,418,438,1600,430,10,486,645
G14,800,4694,2347,2900,2944,4694,2912,10,2972,3187
G15,800,4661,2331,2865,2899,4661,2914,10,2978,3169
G16,800,4672,2335,2894,2935,4672,2921,10,2962,3172
G17,800,4667,2332,2883,2915,4667,2908,10,2960,-1
G18,800,4694,31,760,781,4694,821,10,893,-1
G19,800,4661,-56,710,705,4661,738,10,800,-1
G20,800,4672,-21,736,689,4672,784,10,820,-1
G21,800,4667,-32,733,697,4667,771,10,802,-1
G22,2000,19990,9994,12340,12675,19990,12785,10,13008,14123
G23,2000,19990,9993,12328,12732,19990,12840,10,12957,14129
G24,2000,19990,9996,12372,12659,19990,12831,10,12959,14131
G25,2000,19990,9993,12394,12690,19990,12818,10,12972,-1
G26,2000,19990,9992,12327,12597,19990,12776,10,12969,-1
G27,2000,19990,-21,2345,2346,19990,2768,10,2822,-1
G28,2000,19990,-53,2292,2374,19990,2722,10,2826,-1
G29,2000,19990,41,2369,2472,19990,2856,10,2955,-1
G30,2000,19990,47,2424,2495,19990,2865,10,2925,-1
G31,2000,19990,-38,2329,2409,19990,2719,10,2862,-1
G32,2000,4000,10,1026,1068,4000,1070,10,1142,1560
G33,2000,4000,-15,1008,968,4000,1018,10,1122,1537
G34,2000,4000,-23,980,1008,4000,1040,10,1132,1541
G35,2000,11778,5887,7242,7389,11778,7330,10,7485,8000
G36,2000,11766,5883,7240,7373,11766,7316,10,7483,7996
G37,2000,11785,5892,7274,7364,11785,7328,10,7467,8009
G38,2000,11779,5889,7252,7352,11779,7337,10,7469,-1
G39,2000,11778,13,1938,1709,11778,2004,10,2073,-1
G40,2000,11766,-50,1828,1729,11766,1978,10,2086,-1
G41,2000,11785,-9,1876,1704,11785,2007,10,2100,-1
G42,2000,11779,60,1967,1733,11779,2040,10,2141,-1
G43,1000,9990,4995,6187,6340,9990,6389,10,6513,7027
G44,1000,9990,4993,6118,6314,9990,6352,10,6499,7022
G45,1000,9990,4996,6191,6288,9990,6401,10,6465,7020
G46,1000,9990,4995,6188,6341,9990,6473,10,6524,-1
G47,1000,9990,4995,6202,6364,9990,6398,10,6509,-1
G48,3000,6000,3000,6000,6000,6000,5034,10,6000,-1
G49,3000,6000,2999,6000,6000,6000,4978,10,6000,6000
G50,3000,6000,2989,5880,5860,6000,4948,10,5868,6000
G51,1000,5909,2956,3652,3684,5909,3690,10,3749,5988
G52,1000,5916,2955,3637,3697,5916,3693,10,3748,-1
G53,1000,5914,2957,3642,3705,5914,3676,10,3746,-1
G54,1000,5916,2957,3622,3706,5916,3664,10,3738,-1
